ip,port22_open,ssh_banner,ssh_result
192.168.1.137,0,n/a,port_closed
192.168.1.138,0,n/a,port_closed
192.168.1.186,0,n/a,port_closed
192.168.1.187,0,n/a,port_closed
192.168.1.188,0,n/a,port_closed
192.168.1.191,0,n/a,port_closed
192.168.1.192,0,n/a,port_closed
192.168.1.194,0,n/a,port_closed
192.168.1.195,0,n/a,port_closed
192.168.1.198,0,n/a,port_closed
192.168.1.203,0,n/a,port_closed
192.168.1.205,0,n/a,port_closed
192.168.1.206,0,n/a,port_closed
192.168.1.208,0,n/a,port_closed
192.168.1.229,1,SSH-2.0-OpenSSH_10.2,auth_failed
192.168.1.242,0,n/a,port_closed
192.168.1.247,0,n/a,port_closed
192.168.1.250,0,n/a,port_closed
192.168.1.254,0,n/a,port_closed
192.168.1.90,0,n/a,port_closed
192.168.1.96,0,n/a,port_closed
